phase,method,p,delay_mode,spy_selection_method,bribed_nodes,run_count,accuracy_mean,accuracy_median,accuracy_stdev,score_adv_mean,score_adv_median,score_adv_stdev,mean_t80_mean,mean_t80_median,mean_t80_stdev,score_honest_mean,score_honest_median,score_honest_stdev
3,no_attack,0.1,none,none,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7936935203075409,0.7109865939617157,0.22162256641843858,1.3313016293850002,1.4064962806511745,0.3274694998904124
3,no_attack,0.5,none,none,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.070545495033264,0.9906724953651428,0.20631576652608027,0.9569801928465159,1.0094153261330014,0.14866690059612658
3,no_attack,0.9,none,none,0,5,0.0,0.0,0.0,0.0,0.0,0.0,2.569234036684036,2.5599996840953825,0.3106134211351697,0.3935768244683406,0.3906250482032252,0.04524240653128137
4,advanced_timing,0.1,none,cluster_spread,3,5,0.47800000000000004,0.475,0.03290136775272421,0.15933333333333333,0.15833333333333333,0.010967122584241401,0.7866794934272766,0.721719423532486,0.20684054280296668,0.6933867445742925,0.6786259986210519,0.1545641127466492
4,advanced_timing,0.5,none,cluster_spread,3,5,0.361,0.365,0.023291629397704232,0.12033333333333333,0.12166666666666666,0.00776387646590141,1.0660055000782012,0.9538089215755463,0.22663213257043832,0.6146094050572719,0.6549066524447833,0.0903437376738721
4,advanced_timing,0.9,none,cluster_spread,3,5,0.335,0.335,0.055113519212621497,0.11166666666666666,0.11166666666666668,0.01837117307087383,2.5344709243774415,2.4285422468185427,0.20213563904605675,0.26255122900533634,0.2616477075382067,0.012944007608765806
4,first_spy,0.1,none,cluster_spread,3,5,0.195,0.18,0.04123105625617661,0.065,0.06,0.013743685418725535,0.7866794934272766,0.721719423532486,0.20684054280296668,1.0832130815299443,1.1361756012973514,0.2919964904195631
4,first_spy,0.5,none,cluster_spread,3,5,0.231,0.24,0.04248529157249601,0.077,0.08,0.01416176385749867,1.0660055000782012,0.9538089215755463,0.22663213257043832,0.7440716725984053,0.7702637349420066,0.13829256978064428
4,first_spy,0.9,none,cluster_spread,3,5,0.22600000000000003,0.245,0.0395916657896583,0.07533333333333334,0.08166666666666667,0.0131972219298861,2.5344709243774415,2.4285422468185427,0.20213563904605675,0.30658174453400555,0.3026506954790967,0.0245408159387897
5,advanced_timing,0.1,half,cluster_spread,3,5,0.501,0.51,0.06542170893518452,0.167,0.17,0.021807236311728175,0.8620855374336243,0.7508729875087738,0.2700347806520102,0.6084447467567118,0.5926435061626187,0.14172327997509662
5,advanced_timing,0.1,maximum,cluster_spread,3,5,0.508,0.54,0.05155094567512803,0.16933333333333334,0.18000000000000002,0.01718364855837601,0.9077480704784394,0.8101197516918183,0.2549328999621234,0.5700830469717477,0.5616453605158966,0.15228633669181352
5,advanced_timing,0.1,none,cluster_spread,3,5,0.44699999999999995,0.455,0.04855409354524086,0.149,0.15166666666666667,0.01618469784841362,0.8014058816432954,0.7150740230083465,0.22984201336092347,0.7233627924751177,0.6922360260235914,0.16269490708809237
5,advanced_timing,0.1,random,cluster_spread,3,5,0.496,0.49,0.052607033750250574,0.16533333333333333,0.16333333333333333,0.017535677916750196,0.8554180958271027,0.7529123032093048,0.25172079074591336,0.618628386316929,0.6176018083619135,0.1456506374952439
5,advanced_timing,0.5,half,cluster_spread,3,5,0.348,0.325,0.05118593556827891,0.11599999999999999,0.10833333333333334,0.01706197852275964,1.1590076270103453,1.2020025753974914,0.24003630020460495,0.5753143862223984,0.5865212058858217,0.07911127711910255
5,advanced_timing,0.5,maximum,cluster_spread,3,5,0.356,0.35,0.03714835124201341,0.11866666666666666,0.11666666666666665,0.012382783747337804,1.231735646009445,1.1703672111034393,0.28918827439467654,0.5395765370351805,0.5585010700186337,0.0957848223599974
5,advanced_timing,0.5,none,cluster_spread,3,5,0.34199999999999997,0.325,0.0309434968935316,0.11400000000000002,0.10833333333333334,0.010314498964510537,1.0863392689228057,1.0439044392108918,0.1320590120290537,0.610379783710205,0.6283189929070455,0.052714408070394535
5,advanced_timing,0.5,random,cluster_spread,3,5,0.36,0.38,0.0348209706929603,0.12,0.12666666666666668,0.011606990230986769,1.0995460078716277,0.9918473613262176,0.2618154379774013,0.6032957552097044,0.6250961833189599,0.12151024229045106
5,advanced_timing,0.9,half,cluster_spread,3,5,0.352,0.34,0.042514703338962616,0.11733333333333333,0.11333333333333334,0.014171567779654205,2.681727932214737,2.611395374536514,0.2908426840452785,0.2438249667088778,0.25765654777609887,0.03050205690650329
5,advanced_timing,0.9,maximum,cluster_spread,3,5,0.344,0.32,0.05091659847240389,0.11466666666666667,0.10666666666666667,0.016972199490801296,2.696971583843231,2.6104178655147554,0.3309597034460018,0.24484374436638706,0.24609325190094616,0.02274921717335505
5,advanced_timing,0.9,none,cluster_spread,3,5,0.355,0.365,0.02893959225697557,0.11833333333333333,0.12166666666666666,0.009646530752325187,2.5918581042289732,2.644701316356659,0.26262530879345664,0.2517200482823042,0.2382121550375632,0.035931840603856006
5,advanced_timing,0.9,random,cluster_spread,3,5,0.331,0.34,0.0660870637870983,0.11033333333333332,0.11333333333333334,0.0220290212623661,2.5472321557998656,2.4523336136341096,0.2699994672958698,0.26401103749749916,0.2670925343755968,0.028578596347007136
5,first_spy,0.1,half,cluster_spread,3,5,0.185,0.175,0.0392109678533953,0.06166666666666667,0.05833333333333333,0.013070322617798433,0.8620855374336243,0.7508729875087738,0.2700347806520102,1.0157959262037999,1.045449780534058,0.28961733055331723
5,first_spy,0.1,maximum,cluster_spread,3,5,0.207,0.19,0.04055859958134649,0.069,0.06333333333333334,0.013519533193782166,0.9077480704784394,0.8101197516918183,0.2549328999621234,0.9239893389204837,0.9134452017181617,0.23399449016102414
5,first_spy,0.1,none,cluster_spread,3,5,0.191,0.17,0.05164784603446693,0.06366666666666668,0.05666666666666667,0.01721594867815564,0.8014058816432954,0.7150740230083465,0.22984201336092347,1.0707157184914853,1.0138810482163712,0.28488717602543173
5,first_spy,0.1,random,cluster_spread,3,5,0.20600000000000002,0.215,0.02534758371127315,0.06866666666666668,0.07166666666666667,0.008449194570424383,0.8554180958271027,0.7529123032093048,0.25172079074591336,0.9884318383242927,1.029336347269856,0.2663997504503004
5,first_spy,0.5,half,cluster_spread,3,5,0.213,0.2,0.027522717889045763,0.071,0.06666666666666667,0.009174239296348589,1.1590076270103453,1.2020025753974914,0.24003630020460495,0.7044819638551234,0.6657716986627588,0.15629636294744267
5,first_spy,0.5,maximum,cluster_spread,3,5,0.23399999999999999,0.225,0.03435112807463535,0.078,0.075,0.011450376024878448,1.231735646009445,1.1703672111034393,0.28918827439467654,0.647995147961424,0.6558156504006685,0.1443046803366112
5,first_spy,0.5,none,cluster_spread,3,5,0.211,0.2,0.02966479394838265,0.07033333333333333,0.06666666666666667,0.009888264649460883,1.0863392689228057,1.0439044392108918,0.1320590120290537,0.7349411094117135,0.7701974751763784,0.09132353068975117
5,first_spy,0.5,random,cluster_spread,3,5,0.22400000000000003,0.21,0.03380088756231115,0.07466666666666667,0.06999999999999999,0.011266962520770384,1.0995460078716277,0.9918473613262176,0.2618154379774013,0.736783184497772,0.7888339289283226,0.1647351098581496
5,first_spy,0.9,half,cluster_spread,3,5,0.24500000000000002,0.23,0.04937104414532875,0.08166666666666667,0.07666666666666667,0.01645701471510958,2.681727932214737,2.611395374536514,0.2908426840452785,0.2839154823042082,0.27762934983703,0.0343419788555206
5,first_spy,0.9,maximum,cluster_spread,3,5,0.227,0.225,0.03402205167240801,0.07566666666666666,0.075,0.011340683890802667,2.696971583843231,2.6104178655147554,0.3309597034460018,0.28951465872696824,0.2825121433501855,0.032822960068079374
5,first_spy,0.9,none,cluster_spread,3,5,0.22599999999999998,0.235,0.020736441353327716,0.07533333333333334,0.07833333333333332,0.006912147117775905,2.5918581042289732,2.644701316356659,0.26262530879345664,0.3016796545192138,0.2854764715132702,0.03815370107427081
5,first_spy,0.9,random,cluster_spread,3,5,0.225,0.22,0.03840572873934303,0.075,0.07333333333333333,0.012801909579781012,2.5472321557998656,2.4523336136341096,0.2699994672958698,0.30689209759502306,0.3180643920808634,0.03514524848837588
