run_name,phase,method,p,seed,delay_mode,spy_selection_method,bribed_nodes,total_packets,correct_guesses,accuracy,score_adv,mean_t80,median_t80,score_honest,missing_observation_packets
phase2_seed404_spies4,2,first_spy,0.5,404,none,cluster_spread,4,200,141,0.705,0.17625,0.52766037940979,0.5109661817550659,0.5590717277843937,0
phase2_seed404_spies4,2,advanced_timing,0.5,404,none,cluster_spread,4,200,172,0.86,0.215,0.52766037940979,0.5109661817550659,0.26532217589767837,0
phase2_seed404_spies5,2,first_spy,0.5,404,none,cluster_spread,5,200,147,0.735,0.147,0.5277674043178558,0.5150765180587769,0.5021151322191163,0
phase2_seed404_spies5,2,advanced_timing,0.5,404,none,cluster_spread,5,200,173,0.865,0.173,0.5277674043178558,0.5150765180587769,0.2557945013191725,0
phase2_seed404_spies6,2,first_spy,0.5,404,none,cluster_spread,6,200,160,0.8,0.13333333333333333,0.5274612855911255,0.5122514963150024,0.37917474791701555,0
phase2_seed404_spies6,2,advanced_timing,0.5,404,none,cluster_spread,6,200,189,0.945,0.1575,0.5274612855911255,0.5122514963150024,0.1042730556771794,0
phase2_seed505_spies1,2,first_spy,0.5,505,none,cluster_spread,1,200,46,0.23,0.23,0.9412934267520905,0.9577815532684326,0.8180233475727816,0
phase2_seed505_spies1,2,advanced_timing,0.5,505,none,cluster_spread,1,200,24,0.12,0.12,0.9412934267520905,0.9577815532684326,0.9348838257974648,0
phase2_seed505_spies2,2,first_spy,0.5,505,none,cluster_spread,2,200,70,0.35,0.175,0.9371587491035461,0.9537950754165649,0.693585799227471,0
phase2_seed505_spies2,2,advanced_timing,0.5,505,none,cluster_spread,2,200,98,0.49,0.245,0.9371587491035461,0.9537950754165649,0.544198088624631,0
phase2_seed505_spies3,2,first_spy,0.5,505,none,cluster_spread,3,200,69,0.345,0.11499999999999999,0.9366565442085266,0.9560405015945435,0.699295813444056,0
phase2_seed505_spies3,2,advanced_timing,0.5,505,none,cluster_spread,3,200,94,0.47,0.15666666666666665,0.9366565442085266,0.9560405015945435,0.5658424139318317,0
phase2_seed505_spies4,2,first_spy,0.5,505,none,cluster_spread,4,200,124,0.62,0.155,0.9374079263210296,0.9520933628082275,0.40537314581001654,0
phase2_seed505_spies4,2,advanced_timing,0.5,505,none,cluster_spread,4,200,158,0.79,0.1975,0.9374079263210296,0.9520933628082275,0.2240220016318512,0
phase2_seed505_spies5,2,first_spy,0.5,505,none,cluster_spread,5,200,128,0.64,0.128,0.9397203040122986,0.9459636211395264,0.38309271222822117,0
phase2_seed505_spies5,2,advanced_timing,0.5,505,none,cluster_spread,5,200,170,0.85,0.16999999999999998,0.9397203040122986,0.9459636211395264,0.1596219634284255,0
phase2_seed505_spies6,2,first_spy,0.5,505,none,cluster_spread,6,200,125,0.625,0.10416666666666667,0.9389217352867126,0.9557561874389648,0.3993943114816578,0
phase2_seed505_spies6,2,advanced_timing,0.5,505,none,cluster_spread,6,200,170,0.85,0.14166666666666666,0.9389217352867126,0.9557561874389648,0.15975772459266316,0
phase3_p0.1_seed101,3,no_attack,0.1,101,none,none,0,200,0,0.0,0.0,0.7109865939617157,0.5674605369567871,1.4064962806511745,200
phase3_p0.1_seed202,3,no_attack,0.1,202,none,none,0,200,0,0.0,0.0,0.5718341386318206,0.5640859603881836,1.7487588313503208,200
phase3_p0.1_seed303,3,no_attack,0.1,303,none,none,0,200,0,0.0,0.0,0.8451933419704437,0.789499044418335,1.183161237011933,200
phase3_p0.1_seed404,3,no_attack,0.1,404,none,none,0,200,0,0.0,0.0,0.6903021323680878,0.628587007522583,1.44864104152408,200
phase3_p0.1_seed505,3,no_attack,0.1,505,none,none,0,200,0,0.0,0.0,1.1501513946056365,1.0476830005645752,0.8694507563874925,200
phase3_p0.5_seed101,3,no_attack,0.5,101,none,none,0,200,0,0.0,0.0,0.9434916603565217,0.6961996555328369,1.0598927812696566,200
phase3_p0.5_seed202,3,no_attack,0.5,202,none,none,0,200,0,0.0,0.0,0.9906724953651428,0.6152608394622803,1.0094153261330014,200
phase3_p0.5_seed303,3,no_attack,0.5,303,none,none,0,200,0,0.0,0.0,1.0188437104225159,0.8481210470199585,0.981504807626774,200
phase3_p0.5_seed404,3,no_attack,0.5,404,none,none,0,200,0,0.0,0.0,0.9636131608486176,0.703956127166748,1.0377608366404396,200
phase3_p0.5_seed505,3,no_attack,0.5,505,none,none,0,200,0,0.0,0.0,1.4361064481735228,1.1116712093353271,0.6963272125627078,200
phase3_p0.9_seed101,3,no_attack,0.9,101,none,none,0,200,0,0.0,0.0,2.2506087017059326,2.805517554283142,0.44432423958994416,200
phase3_p0.9_seed202,3,no_attack,0.9,202,none,none,0,200,0,0.0,0.0,2.5599996840953825,3.389546513557434,0.3906250482032252,200
phase3_p0.9_seed303,3,no_attack,0.9,303,none,none,0,200,0,0.0,0.0,2.6453895008563997,3.4612282514572144,0.3780161672510861,200
phase3_p0.9_seed404,3,no_attack,0.9,404,none,none,0,200,0,0.0,0.0,2.34377556681633,3.348078727722168,0.42666201242056256,200
phase3_p0.9_seed505,3,no_attack,0.9,505,none,none,0,200,0,0.0,0.0,3.0463967299461365,3.882856011390686,0.328256654876885,200
phase4_p0.1_seed101_spies3,4,first_spy,0.1,101,none,cluster_spread,3,200,36,0.18,0.06,0.721719423532486,0.5794004201889038,1.1361756012973514,0
phase4_p0.1_seed101_spies3,4,advanced_timing,0.1,101,none,cluster_spread,3,200,93,0.465,0.155,0.721719423532486,0.5794004201889038,0.7412853008464425,0
phase4_p0.1_seed202_spies3,4,first_spy,0.1,202,none,cluster_spread,3,200,32,0.16,0.05333333333333334,0.570444530248642,0.5544500350952148,1.4725358127877322,0
phase4_p0.1_seed202_spies3,4,advanced_timing,0.1,202,none,cluster_spread,3,200,95,0.475,0.15833333333333333,0.570444530248642,0.5544500350952148,0.9203348829923327,0
phase4_p0.1_seed303_spies3,4,first_spy,0.1,303,none,cluster_spread,3,200,33,0.165,0.055,0.831369651556015,0.7939629554748535,1.004366707922511,0
phase4_p0.1_seed303_spies3,4,advanced_timing,0.1,303,none,cluster_spread,3,200,96,0.48,0.16,0.831369651556015,0.7939629554748535,0.6254738779876715,0
phase4_p0.1_seed404_spies3,4,first_spy,0.1,404,none,cluster_spread,3,200,42,0.21,0.06999999999999999,0.6925758826732635,0.6397539377212524,1.1406692317247469,0
phase4_p0.1_seed404_spies3,4,advanced_timing,0.1,404,none,cluster_spread,3,200,106,0.53,0.17666666666666667,0.6925758826732635,0.6397539377212524,0.6786259986210519,0
phase4_p0.1_seed505_spies3,4,first_spy,0.1,505,none,cluster_spread,3,200,52,0.26,0.08666666666666667,1.1172879791259767,1.0478969812393188,0.6623180539173807,0
phase4_p0.1_seed505_spies3,4,advanced_timing,0.1,505,none,cluster_spread,3,200,88,0.44,0.14666666666666667,1.1172879791259767,1.0478969812393188,0.5012136624239638,0
phase4_p0.5_seed101_spies3,4,first_spy,0.5,101,none,cluster_spread,3,200,48,0.24,0.08,0.9314304530620575,0.7227662801742554,0.8159492718984186,0
phase4_p0.5_seed101_spies3,4,advanced_timing,0.5,101,none,cluster_spread,3,200,78,0.39,0.13,0.9314304530620575,0.7227662801742554,0.6549066524447833,0
phase4_p0.5_seed202_spies3,4,first_spy,0.5,202,none,cluster_spread,3,200,36,0.18,0.06,0.9538089215755463,0.6295633316040039,0.8597109771687663,0
phase4_p0.5_seed202_spies3,4,advanced_timing,0.5,202,none,cluster_spread,3,200,73,0.365,0.12166666666666666,0.9538089215755463,0.6295633316040039,0.6657517932953251,0
phase4_p0.5_seed303_spies3,4,first_spy,0.5,303,none,cluster_spread,3,200,39,0.195,0.065,1.0475772619247437,0.8745310306549072,0.7684397411613826,0
phase4_p0.5_seed303_spies3,4,advanced_timing,0.5,303,none,cluster_spread,3,200,73,0.365,0.12166666666666666,1.0475772619247437,0.8745310306549072,0.606160541164569,0
phase4_p0.5_seed404_spies3,4,first_spy,0.5,404,none,cluster_spread,3,200,56,0.28,0.09333333333333334,0.9347447729110718,0.6947983503341675,0.7702637349420066,0
phase4_p0.5_seed404_spies3,4,advanced_timing,0.5,404,none,cluster_spread,3,200,72,0.36,0.12,0.9347447729110718,0.6947983503341675,0.684678875504006,0
phase4_p0.5_seed505_spies3,4,first_spy,0.5,505,none,cluster_spread,3,200,52,0.26,0.08666666666666667,1.4624660909175873,1.1242496967315674,0.5059946378214525,0
phase4_p0.5_seed505_spies3,4,advanced_timing,0.5,505,none,cluster_spread,3,200,65,0.325,0.10833333333333334,1.4624660909175873,1.1242496967315674,0.4615491628776763,0
phase4_p0.9_seed101_spies3,4,first_spy,0.9,101,none,cluster_spread,3,200,34,0.17,0.05666666666666667,2.416454293727875,3.3546801805496216,0.34347846021931383,0
phase4_p0.9_seed101_spies3,4,advanced_timing,0.9,101,none,cluster_spread,3,200,82,0.41,0.13666666666666666,2.416454293727875,3.3546801805496216,0.24415938738481352,0
phase4_p0.9_seed202_spies3,4,first_spy,0.9,202,none,cluster_spread,3,200,50,0.25,0.08333333333333333,2.5415854251384733,3.3897348642349243,0.2950913994791805,0
phase4_p0.9_seed202_spies3,4,advanced_timing,0.9,202,none,cluster_spread,3,200,67,0.335,0.11166666666666668,2.5415854251384733,3.3897348642349243,0.2616477075382067,0
phase4_p0.9_seed303_spies3,4,first_spy,0.9,303,none,cluster_spread,3,200,49,0.245,0.08166666666666667,2.4033784568309784,3.3505589962005615,0.3141411199114766,0
phase4_p0.9_seed303_spies3,4,advanced_timing,0.9,303,none,cluster_spread,3,200,66,0.33,0.11,2.4033784568309784,3.3505589962005615,0.27877423886184016,0
phase4_p0.9_seed404_spies3,4,first_spy,0.9,404,none,cluster_spread,3,200,53,0.265,0.08833333333333333,2.4285422468185427,3.384387493133545,0.3026506954790967,0
phase4_p0.9_seed404_spies3,4,advanced_timing,0.9,404,none,cluster_spread,3,200,69,0.345,0.11499999999999999,2.4285422468185427,3.384387493133545,0.26970912318205215,0
phase4_p0.9_seed505_spies3,4,first_spy,0.9,505,none,cluster_spread,3,200,40,0.2,0.06666666666666667,2.882394199371338,3.8013508319854736,0.2775470475809601,0
phase4_p0.9_seed505_spies3,4,advanced_timing,0.9,505,none,cluster_spread,3,200,51,0.255,0.085,2.882394199371338,3.8013508319854736,0.2584656880597691,0
phase5_p0.1_seed101_spies3_delay_half,5,first_spy,0.1,101,half,cluster_spread,3,200,28,0.14,0.04666666666666667,0.7229054367542267,0.5892664194107056,1.1896438403635672,0
phase5_p0.1_seed101_spies3_delay_half,5,advanced_timing,0.1,101,half,cluster_spread,3,200,96,0.48,0.16,0.7229054367542267,0.5892664194107056,0.719319531382622,0
phase5_p0.1_seed101_spies3_delay_maximum,5,first_spy,0.1,101,maximum,cluster_spread,3,200,34,0.17,0.05666666666666667,0.7857284152507782,0.6303009986877441,1.056344640068912,0
